,maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,youngsMod,ph,sec_Mn,sec_Mw,sec_polyDisp,sec_calcMass,sec_massRec,doubleFold
151,41.551,27.687,0.026484,0.044552,3368.1,4.58,28.5,129.1,4.521,21.07,67.5,2.0
152,44.222,28.469,0.047166,0.068514,3103.1,4.58,27.3,102.7,3.769,22.48,72.1,2.0
153,48.056,32.784,0.037558,0.067814,3336.5,4.59,21.9,67.2,3.068,23.97,76.8,2.0
154,34.803,31.873,0.040934,0.066496,3263.0,4.735,37.0,81.4,2.199,18.17,58.3,9.0
155,17.523,15.079,0.018174,0.019482,,4.235,20.2,50.5,2.502,16.36,52.4,1.0
156,19.709,15.463,0.022412,0.029154,2481.4,4.2,22.8,50.0,2.192,15.12,48.5,2.0
157,23.025,21.479,0.028118,0.032108,2661.8,4.36,34.4,62.0,1.803,14.18,45.5,2.0
158,28.262,25.444,0.069134,0.08315,1949.8,5.587,68.1,173.4,2.547,15.35,49.2,10.0
159,31.009,26.901,0.036974,0.05708,2436.2,4.575,32.5,65.3,2.008,15.11,48.4,2.0
160,32.796,23.829,0.049142,0.07094,2489.4,4.98,38.8,80.1,2.068,22.39,71.8,10.0
161,25.5,22.099,0.027752,0.041272,2519.3,4.535,38.0,71.9,1.893,13.2,42.3,3.0
162,23.686,22.307,0.030292,0.040346,2547.2,4.44,31.4,67.9,2.162,13.9,44.6,3.0
163,20.76,18.666,0.027948,0.027778,2265.3,4.475,28.6,64.1,2.24,15.92,51.0,9.0
164,28.232,23.292,0.045806,0.058762,2125.9,4.915,48.6,100.4,2.064,14.24,45.6,10.0
165,18.766,15.157,0.027982,0.032354,2116.8,4.44,27.7,67.1,2.425,17.84,57.2,9.0
166,26.47,21.079,0.039502,0.056982,1959.6,4.74,34.2,71.6,2.094,19.21,61.6,5.0
167,23.206,27.422,0.052628,0.057572,2659.1,4.82,35.8,84.2,2.351,15.17,48.6,10.0
168,30.04,25.779,0.036692,0.056826,2499.9,4.525,31.4,71.6,2.282,17.05,54.6,9.0
169,30.223,26.148,0.034166,0.057066,3011.2,4.49,27.1,62.3,2.297,17.07,54.7,3.0
170,31.481,28.806,0.03898,0.059478,2761.9,4.695,26.8,64.6,2.411,17.43,55.9,4.0
171,21.498,19.677,0.032598,0.041536,2644.7,4.7,26.3,63.4,2.413,15.25,48.9,7.0
172,22.482,25.603,0.045694,0.062226,2206.0,6.33,61.1,121.7,1.991,10.21,32.7,10.0
173,25.279,29.128,0.04006,0.057494,3106.9,5.98,32.2,74.8,2.322,10.1,32.4,10.0
174,26.547,20.377,0.02954,0.042182,1800.6,4.63,29.7,64.3,2.165,18.14,58.1,10.0
175,38.136,27.24,0.04942,0.096378,1804.1,5.805,57.9,130.9,2.262,19.73,63.2,10.0
176,45.005,28.906,0.049598,0.089392,2578.3,5.115,34.5,79.3,2.298,24.07,77.1,10.0
177,22.212,18.274,0.038746,0.051372,1818.6,6.61,49.9,112.7,2.259,13.48,43.2,10.0
178,28.861,22.928,0.048552,0.067416,1918.5,5.005,44.8,93.9,2.097,20.02,64.2,10.0
179,23.794,19.409,0.04276,0.054966,1995.9,4.955,41.4,82.8,1.999,18.78,60.2,10.0
180,31.77,26.968,0.043776,0.06747,2462.2,5.405,28.9,79.6,2.749,22.1,70.8,10.0
181,28.789,22.765,0.036542,0.050236,1795.6,4.9,48.8,84.5,1.73,10.65,34.1,10.0
182,19.364,14.764,0.033796,0.04264,1986.4,4.55,26.6,62.4,2.348,19.26,61.7,9.0
