,publisher,maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,youngsMod,ph,sec_Mn,sec_Mw,sec_polyDisp,sec_calcMass,sec_massRec
126,F. Vieweg,28.557,29.465,0.044442,0.060354,2949.1,4.755,32.6,69.2,2.124,13.91,44.6
127,F. Vieweg,10.037,12.033,0.009222,0.004065999999999999,,4.365,20.7,53.0,2.553,9.0,28.8
128,F. Vieweg,24.074,30.01,0.053163999999999996,0.060194000000000004,1492.3,4.74,64.1,102.4,1.597,6.35,20.4
129,F. Vieweg,13.769,16.657,0.023972,0.018602,2245.0,4.415,22.8,53.6,2.352,6.34,20.3
130,F.H. Revell,19.562,12.154000000000002,0.032902999999999995,0.042787,2000.6,5.98,26.3,88.7,3.375,10.6,34.0
131,F.H. Revell,18.847,13.24,0.029584,0.037642,1866.7,5.635,22.2,75.1,3.385,16.1,51.6
132,"Fields, Osgood and Company",7.5063,9.0508,0.014891999999999999,0.005414,,4.675,31.5,82.7,2.623,12.39,39.7
133,"Fields, Osgood and Company",14.645,16.83,0.03452,0.032056,1552.8,4.505,34.6,73.5,2.125,14.5,46.5
134,"Fields, Osgood and Company",14.34,19.471,0.026522000000000004,0.02513,2081.4,4.785,26.6,64.3,2.42,12.09,38.7
135,"Fields, Osgood and Company",14.870999999999999,16.457,0.026224,0.027218,2462.2,4.61,27.2,69.3,2.551,14.93,47.9
136,"Fields, Osgood and Company",13.443,14.712,0.028263999999999997,0.02431,1746.9,4.55,46.4,76.4,1.6469999999999998,10.67,34.2
137,"Fields, Osgood and Company",13.921,15.502,0.022959999999999998,0.018606,1886.5,4.66,38.3,68.4,1.788,9.15,29.3
138,"Fields, Osgood and Company",12.161,14.067,0.01786,0.010482,,4.56,45.0,76.5,1.7009999999999998,8.27,26.5
139,Forbes & Company,30.7,21.836,0.03999,0.061824000000000004,2823.6,4.965,46.1,112.0,2.428,12.97,41.6
140,Forbes & Company,32.775999999999996,24.834,0.049836,0.06086799999999999,2068.5,5.473,22.2,139.0,6.256,19.17,61.5
141,Forbes & Company,31.553,22.195999999999998,0.045836,0.05541,2303.9,5.31,27.0,107.0,3.965,16.76,53.7
142,Forbes & Company,34.982,25.02,0.045028,0.07332999999999999,2361.9,5.71,35.6,136.4,3.835,15.63,50.1
143,Funk & Wagnalls,48.056000000000004,32.784,0.037558,0.067814,3336.5,4.59,21.9,67.2,3.068,23.97,76.8
144,Funk & Wagnalls,18.347,14.385,0.025391999999999998,0.032354,2627.2,4.41,21.5,42.7,1.992,11.28,36.2
145,Funk & Wagnalls,27.384,21.193,0.041154,0.052966,2351.1,4.78,27.1,56.5,2.081,14.18,45.5
146,Funk & Wagnalls,33.775999999999996,28.592,0.042733999999999994,0.060988,3554.7,4.59,22.4,50.8,2.265,17.04,54.6
147,Funk & Wagnalls,41.08,39.016,0.040762,0.072246,3649.9,4.68,26.5,70.1,2.648,22.57,72.3
148,Funk & Wagnalls,23.603,23.256,0.034148000000000005,0.049026,2673.7,4.925,31.5,65.4,2.077,14.27,45.7
