,doubleFold,pH,sec_Mn,sec_Mw,sec_polydispersity,tens_energyAbsorp_avg,tens_maxLoad_avg,tens_strainMaxLoad_avg,tens_stressMaxLoad_avg,tens_thickness_avg,tens_youngsMod_avg
180,10.0,5.805,57.8,130.1,2.249,0.073534,26.887815,0.0472,19.067389,0.1418,1293.44422
181,10.0,5.005,44.8,93.5,2.086,0.06479,23.48234,0.045141,18.682431,0.1257,1528.319402
182,10.0,6.61,49.9,112.1,2.246,0.032603,15.169233,0.031867,12.631135,0.1217,1271.729565
183,10.0,4.955,41.4,82.4,1.989,0.053073,21.315366,0.041864,16.879633,0.1238,1760.137399
184,10.0,4.9,48.8,84.1,1.723,0.046457,23.482984,0.034992,18.581347,0.1263,1559.398878
185,10.0,5.405,29.0,79.2,2.729,0.061797,24.824056,0.042592,21.073128,0.1178,2135.75503
186,9.0,4.55,26.7,62.2,2.333,0.030679,15.888227,0.027944,12.128443,0.131,1723.298092
187,6.0,4.79,26.1,55.2,2.114,0.035715,18.724732,0.028821,13.944272,0.1348,1715.600782
188,2.0,4.435,23.0,48.5,2.108,0.030488,17.049134,0.027689,15.074592,0.1131,2004.740246
189,10.0,4.52,30.1,63.3,2.107,0.026929,13.481718,0.027346,10.647174,0.1267,1318.959687
190,10.0,5.085,30.9,69.9,2.261,0.046304,19.366135,0.037782,12.615422,0.1531,1728.944808
191,10.0,5.055,41.5,81.4,1.96,0.049066,18.638689,0.044983,12.115505,0.1535,881.031818
192,10.0,5.185,46.3,91.4,1.975,0.076263,29.24563,0.051409,26.144361,0.1118,1971.473577
193,3.0,4.87,28.2,62.6,2.223,0.049885,22.347801,0.039352,22.82822,0.0979,2572.119648
194,2.0,4.795,28.1,63.1,2.244,0.049033,21.577503,0.038133,20.198457,0.1072,2560.974398
195,1.0,4.28,22.2,48.1,2.166,0.013137,11.606781,0.016331,11.244636,0.1028,3092.230063
196,4.0,4.87,25.0,55.8,2.234,0.038843,18.820014,0.031304,16.245607,0.1158,2196.784115
197,8.0,4.665,37.4,79.8,2.133,0.032982,17.360431,0.032568,15.926752,0.1054,1785.75402
198,8.0,4.505,31.0,66.7,2.154,0.032053,17.751676,0.030645,17.006636,0.1045,1658.039801
199,3.0,4.48,23.9,57.2,2.391,0.053974,22.858995,0.038657,18.571994,0.1232,2340.867927
200,1.0,4.22,20.1,44.5,2.219,0.04554,23.404697,0.03397,17.450731,0.134,2406.046318
201,1.0,4.62,22.2,52.6,2.373,0.049698,27.428351,0.032145,20.228843,0.1358,2619.409089
202,3.0,4.59,23.6,85.3,3.621,0.055584,28.91201,0.036239,25.406824,0.1146,3140.856021
203,10.0,4.62,36.5,94.3,2.582,0.079375,27.713228,0.051478,21.771526,0.1274,1773.695008
